##################################################
# DATA EXPORT AND TRANSFORMATION REPORT
#
# Original File: 6.xlsx
# Experiment Start Date/Time: 2025-06-27 14:30:54
# Processing Date: 2025-07-23 12:59:48.069924
#
# Operations Performed:
# - Column 1 (Time): Read from Excel Column B (milliseconds), divided by 1000.
# - Column 2 (Absorbance): Read from Excel Column C, comma decimal converted to dot decimal.
##################################################

Time (s)	UA
118.909	0.08282096687709271
119.437	0.08265194546256532
119.969	0.08267712332619905
120.503	0.08303492130973646
121.112	0.08282030511114616
121.64	0.08273134347067992
122.171	0.0824782640054904
122.7	0.08272378834644649
123.231	0.0825695909534908
123.759	0.0828393859105666
124.293	0.0826348983363339
124.822	0.08217362191925891
125.355	0.08245249798685657
125.884	0.0824137221959447
126.411	0.08219053163200445
126.937	0.08215216244509467
127.47	0.0825975000029041
128.0	0.08247480357377197
128.532	0.08259644143693805
129.06	0.08241807094784351
129.588	0.0822511179538441
130.115	0.08195089526728745
130.643	0.08169567254216994
131.17	0.0820593916213071
131.702	0.08197040055167565
132.231	0.0817075984493141
132.763	0.08217851011314305
133.291	0.0817848662963551
133.823	0.08216490521033909
134.351	0.08222349716836462
134.885	0.08204043237498056
